iter	Passed	Remaining
0	1	1199
1	2	1160
2	3	1132
3	4	1121
4	5	1097
5	6	1106
6	7	1102
7	8	1099
8	9	1084
9	10	1083
10	12	1087
11	13	1096
12	14	1126
13	15	1124
14	17	1170
15	18	1164
16	20	1159
17	21	1147
18	22	1137
19	23	1131
20	24	1124
21	25	1121
22	26	1116
23	27	1107
24	28	1106
25	29	1121
26	31	1127
27	32	1118
28	33	1115
29	34	1110
30	35	1119
31	37	1136
32	38	1142
33	39	1136
34	41	1131
35	42	1127
36	43	1122
37	44	1120
38	45	1129
39	47	1130
40	48	1126
41	49	1125
42	50	1124
43	51	1123
44	52	1121
45	53	1118
46	54	1114
47	56	1114
48	57	1111
49	58	1109
50	59	1108
51	60	1104
52	62	1113
53	63	1115
54	64	1111
55	65	1107
56	66	1104
57	67	1102
58	68	1100
59	70	1096
60	70	1092
61	72	1089
62	73	1086
63	74	1082
64	75	1081
65	76	1081
66	77	1084
67	79	1083
68	80	1082
69	81	1078
70	82	1075
71	83	1074
72	84	1072
73	85	1069
74	86	1067
75	87	1064
76	88	1062
77	89	1059
78	90	1056
79	91	1054
80	93	1057
81	94	1056
82	95	1053
83	96	1052
84	97	1051
85	98	1048
86	99	1046
87	100	1044
88	102	1045
89	103	1046
90	104	1046
91	106	1047
92	107	1046
93	108	1048
94	109	1047
95	111	1045
96	112	1043
97	113	1041
98	114	1039
99	115	1037
100	116	1036
101	117	1034
102	118	1032
103	119	1031
104	120	1028
105	121	1026
106	122	1023
107	124	1025
108	125	1025
109	126	1023
110	127	1020
111	128	1017
112	129	1014
113	130	1012
114	131	1010
115	132	1008
116	133	1006
117	134	1004
118	135	1003
119	136	1000
120	137	998
121	138	996
122	140	999
123	141	999
124	142	997
125	143	995
126	144	993
127	145	990
128	146	990
129	147	988
130	148	987
131	149	986
132	151	985
133	152	984
134	153	982
135	154	980
136	155	981
137	157	982
138	158	981
139	159	979
140	160	977
141	161	975
142	162	974
143	163	972
144	164	970
145	165	968
146	166	967
147	167	966
148	168	964
149	169	963
150	171	962
151	172	962
152	173	960
153	174	958
154	175	956
155	176	955
156	177	953
157	178	951
158	179	950
159	180	948
160	181	947
161	182	946
162	184	944
163	185	943
164	186	941
165	187	941
166	188	941
167	189	940
168	190	938
169	191	936
170	192	935
171	194	934
172	195	932
173	196	930
174	197	929
175	198	928
176	199	927
177	200	926
178	201	924
179	202	922
180	204	923
181	205	922
182	206	920
183	207	919
184	208	918
185	209	916
186	210	915
187	211	913
188	212	911
189	213	910
190	214	908
191	215	907
192	216	905
193	217	904
194	219	905
195	220	904
196	221	903
197	222	902
198	223	901
199	225	900
200	226	899
201	227	897
202	228	895
203	229	894
204	230	893
205	231	892
206	232	891
207	233	889
208	235	889
209	236	889
210	237	887
211	238	886
212	239	885
213	240	883
214	241	882
215	242	880
216	243	879
217	244	877
218	245	876
219	246	875
220	247	873
221	249	873
222	250	871
223	252	873
224	253	872
225	254	871
226	255	869
227	256	869
228	257	867
229	258	865
230	259	864
231	260	863
232	261	862
233	263	861
234	264	860
235	265	858
236	266	859
237	268	859
238	269	857
239	270	856
240	271	855
241	272	853
242	273	852
243	274	851
244	275	849
245	276	848
246	277	846
247	279	846
248	280	845
249	281	843
250	282	843
251	283	842
252	285	842
253	286	841
254	287	839
255	288	839
256	289	837
257	290	836
258	291	835
259	293	833
260	294	833
261	295	831
262	296	830
263	297	829
264	299	829
265	300	828
266	301	827
267	302	825
268	303	824
269	304	823
270	305	821
271	306	820
272	307	818
273	308	817
274	309	815
275	310	814
276	311	813
277	312	812
278	314	813
279	315	812
280	317	811
281	318	809
282	319	808
283	320	806
284	321	805
285	322	804
286	323	803
287	324	801
288	325	800
289	326	799
290	327	797
291	328	796
292	329	795
293	331	795
294	332	794
295	333	792
296	334	791
297	335	790
298	336	789
299	337	787
300	338	786
301	339	785
302	340	784
303	342	783
304	343	782
305	344	781
306	345	780
307	347	780
308	348	779
309	349	778
310	350	776
311	351	775
312	352	773
313	353	772
314	354	771
315	355	769
316	356	768
317	357	767
318	358	765
319	359	764
320	361	764
321	362	763
322	363	762
323	364	761
324	365	759
325	366	758
326	367	757
327	369	756
328	370	754
329	371	753
330	372	752
331	373	750
332	374	749
333	375	748
334	376	746
335	377	746
336	379	745
337	380	744
338	381	743
339	382	741
340	383	740
341	384	739
342	385	738
343	386	736
344	387	735
345	388	735
346	389	733
347	391	732
348	392	731
349	393	731
350	395	730
351	396	729
352	397	727
353	398	726
354	399	725
355	400	724
356	401	722
357	402	721
358	403	720
359	404	719
360	405	717
361	406	716
362	407	715
363	408	714
364	410	714
365	411	712
366	412	711
367	413	710
368	414	709
369	415	707
370	416	706
371	417	705
372	418	704
373	419	702
374	421	701
375	422	700
376	423	699
377	424	698
378	425	697
379	426	696
380	427	695
381	428	693
382	429	692
383	430	691
384	431	690
385	433	688
386	434	687
387	435	686
388	436	685
389	437	684
390	438	683
391	440	682
392	441	681
393	443	681
394	444	680
395	445	679
396	446	678
397	447	677
